code,name,total,vulnerable,vulnerable_percentage
21174,Bentleigh - McKinnon,279,9,0.03
21176,Carnegie,163,11,0.07
21177,Caulfield - North,162,11,0.07
21178,Caulfield - South,162,14,0.09
21179,Elsternwick,93,2,0.02
21180,Hughesdale,88,5,0.06
21181,Murrumbeena,87,3,0.03
21182,Ormond - Glen Huntly,135,8,0.06
21426,Bentleigh East (North),159,16,0.1
21427,Bentleigh East (South),188,15,0.08
21183,Aspendale Gardens - Waterways,128,8,0.06
21184/21193,Braeside / Mordialloc - Parkdale,219,10,0.05
21185,Carrum - Patterson Lakes,144,6,0.04
21186,Chelsea - Bonbeach,177,12,0.07
21187,Chelsea Heights,75,4,0.05
21188,Cheltenham - Highett (East),253,12,0.05
21189,Edithvale - Aspendale,157,13,0.08
21190,Mentone,135,3,0.02
21191/21192,Moorabbin - Heatherton / Moorabbin Airport,118,7,0.06
21194,Malvern - Glen Iris,151,14,0.09
21195,Malvern East,213,19,0.09
21196,Bundoora - East,82,9,0.11
21197,Greensborough,241,9,0.04
21198,Heidelberg - Rosanna,196,9,0.05
21199,Heidelberg West,167,18,0.11
21200,Ivanhoe,115,4,0.03
21201,Ivanhoe East - Eaglemont,86,1,0.01
21202,Montmorency - Briar Hill,197,14,0.07
21203,Viewbank - Yallambie,243,10,0.04
21204,Watsonia,104,10,0.1
21205,Kingsbury,88,10,0.11
21207,Reservoir - East,283,35,0.12
21208,Reservoir - West,269,20,0.07
21428,Preston - East,196,20,0.1
21429,Preston - West,186,19,0.1
21209,Eltham,264,18,0.07
21210,Hurstbridge,54,2,0.04
21211,Kinglake,45,3,0.07
21212,Panton Hill - St Andrews,36,1,0.03
21213,Plenty - Yarrambat,106,5,0.05
21214,Research - North Warrandyte,81,1,0.01
21215,Wattle Glen - Diamond Creek,162,3,0.02
21216,Bundoora - North,60,2,0.03
21217,Bundoora - West,42,6,0.14
21219,Lalor,239,29,0.12
21220,Mill Park - North,164,12,0.07
21221,Mill Park - South,124,7,0.06
21223,Thomastown,199,32,0.16
21224,Wallan,284,23,0.08
21225,Whittlesea,81,5,0.06
21430,Doreen,454,33,0.07
21431,Epping - East,171,23,0.13
21432,Epping - South,101,16,0.16
21433,Epping - West,260,29,0.11
21434/21437,Mernda / Wollert,607,47,0.08
21435,South Morang (North),207,12,0.06
21436,South Morang (South),147,20,0.14
21226/21227,Airport West / Essendon Airport,47,1,0.02
21228,Keilor,76,2,0.03
21229,Keilor East,283,30,0.11
21230,Niddrie - Essendon West,59,2,0.03
21231,Strathmore,134,5,0.04
21232,Gisborne,223,15,0.07
21233,Macedon,32,0,0.0
21234,Riddells Creek,57,6,0.11
21235,Romsey,122,10,0.08
21236,Coburg North,95,9,0.09
21237,Fawkner,219,28,0.13
21239,Pascoe Vale,255,24,0.09
21438,Glenroy,300,55,0.18
21439,Gowanbrae,27,0,0.0
21440,Hadfield,77,10,0.13
21240,Sunbury,168,11,0.07
21241,Sunbury - South,332,30,0.09
21242,Broadmeadows,205,44,0.21
21243,Campbellfield - Coolaroo,227,71,0.31
21245,Gladstone Park - Westmeadows,200,28,0.14
21246,Greenvale - Bulla,166,19,0.11
21247,Meadow Heights,238,51,0.21
21248/21250,Melbourne Airport / Tullamarine,62,6,0.1
21249,Roxburgh Park - Somerton,338,74,0.22
21441,Craigieburn - Central,129,34,0.26
21442/21445,Craigieburn - North / Mickleham - Yuroke,370,49,0.13
21443,Craigieburn - South,302,45,0.15
21444,Craigieburn - West,420,53,0.13
21251,Bayswater,112,11,0.1
21254,Knoxfield - Scoresby,184,13,0.07
21255,Lysterfield,51,5,0.1
21256,Rowville - Central,138,7,0.05
21257,Rowville - North,92,6,0.07
21258,Rowville - South,75,4,0.05
21259,Wantirna,158,13,0.08
21260,Wantirna South,156,15,0.1
21446,Boronia,227,18,0.08
21447,Ferntree Gully (North),165,9,0.05
21448,Ferntree Gully (South) - Upper Ferntree,167,9,0.05
21449,The Basin,58,2,0.03
21261,Donvale - Park Orchards,158,11,0.07
21262,Warrandyte - Wonga Park,93,7,0.08
21263,Bayswater North,136,6,0.04
21265,Croydon Hills - Warranwood,221,13,0.06
21266,Ringwood,212,13,0.06
21267,Ringwood East,258,21,0.08
21268,Ringwood North,127,9,0.07
21450,Croydon - East,138,27,0.2
21451,Croydon - West,131,12,0.09
21452,Croydon South,41,3,0.07
21269,Forest Hill,112,4,0.04
21270,Mitcham (Vic.),205,13,0.06
21271,Nunawading,147,15,0.1
21272,Vermont,138,8,0.06
21273,Vermont South,70,1,0.01
21274,Belgrave - Selby,100,7,0.07
21275,Chirnside Park,132,11,0.08
21276,Healesville - Yarra Glen,162,16,0.1
21277,Kilsyth,98,7,0.07
21278,Lilydale - Coldstream,208,20,0.1
21279,Monbulk - Silvan,52,5,0.1
21280,Montrose,92,12,0.13
21281,Mooroolbark,242,18,0.07
21282,Mount Dandenong - Olinda,124,25,0.2
21283,Mount Evelyn,128,10,0.08
21284,Upwey - Tecoma,112,7,0.06
21285,Wandin - Seville,92,6,0.07
21286,Yarra Valley,186,19,0.1
21287,Beaconsfield - Officer,250,37,0.15
21288,Bunyip - Garfield,116,6,0.05
21289,Emerald - Cockatoo,236,23,0.1
21290,Koo Wee Rup,101,8,0.08
21291,Pakenham - North,374,39,0.1
21292,Pakenham - South,535,44,0.08
21293,Berwick - North,266,19,0.07
21294,Berwick - South,438,33,0.08
21295,Doveton,147,28,0.19
21297,Hallam,139,24,0.17
21299,Narre Warren North,61,2,0.03
21453,Endeavour Hills - North,122,12,0.1
21454,Endeavour Hills - South,163,25,0.15
21455,Narre Warren - North East,178,15,0.08
21456,Narre Warren - South West,164,19,0.12
21300,Cranbourne,322,35,0.11
21301,Cranbourne East,729,73,0.1
21302,Cranbourne North,458,47,0.1
21303,Cranbourne South,146,16,0.11
21304,Cranbourne West,382,46,0.12
21305,Hampton Park - Lynbrook,379,41,0.11
21306,Lynbrook - Lyndhurst,350,22,0.06
21308,Pearcedale - Tooradin,105,13,0.12
21457,Narre Warren South (East),184,20,0.11
21458,Narre Warren South (West),261,25,0.1
21309,Clarinda - Oakleigh South,135,12,0.09
21310,Clayton South,146,24,0.16
21311,Dandenong,412,65,0.16
21312,Dandenong North,255,28,0.11
21313,Dingley Village,99,7,0.07
21314,Keysborough,318,21,0.07
21316,Noble Park North,82,6,0.07
21317,Springvale,245,44,0.18
21318,Springvale South,175,30,0.17
21459,Noble Park - East,117,20,0.17
21460,Noble Park - West,216,30,0.14
21319,Ashwood - Chadstone,209,22,0.11
21320,Clayton,143,15,0.1
21321,Glen Waverley - East,275,9,0.03
21322,Glen Waverley - West,225,16,0.07
21323,Mount Waverley - North,170,12,0.07
21324,Mount Waverley - South,224,15,0.07
21325,Mulgrave,237,18,0.08
21326,Oakleigh - Huntingdale,227,20,0.09
21327,Wheelers Hill,205,16,0.08
21328,Ardeer - Albion,95,27,0.28
21329,Cairnlea,154,7,0.05
21330,Deer Park - Derrimut,463,57,0.12
21331,Delahey,77,15,0.19
21332,Keilor Downs,166,14,0.08
21333,Kings Park (Vic.),180,18,0.1
21334,St Albans - North,267,65,0.24
21335,St Albans - South,202,34,0.17
21336,Sunshine,117,11,0.09
21337,Sunshine North,151,10,0.07
21338,Sunshine West,211,32,0.15
21339,Sydenham,120,9,0.07
21340,Taylors Lakes,141,18,0.13
21341,Altona,151,7,0.05
21342,Altona Meadows,195,37,0.19
21343,Altona North,144,26,0.18
21344,Newport,272,12,0.04
21345,Seabrook,106,8,0.08
21346,Williamstown,193,9,0.05
21347,Braybrook,192,17,0.09
21348,Footscray,136,8,0.06
21349,Maribyrnong,117,5,0.04
21350,Seddon - Kingsville,135,7,0.05
21351,West Footscray - Tottenham,145,7,0.05
21352,Yarraville,210,20,0.1
21353,Bacchus Marsh,284,10,0.04
21355,Hillside,316,44,0.14
21356,Melton,295,34,0.12
21357,Melton South,488,44,0.09
21358,Melton West,311,32,0.1
21359,Rockbank - Mount Cottrell,44,3,0.07
21360,Taylors Hill,325,35,0.11
21461,Burnside,83,7,0.08
21462,Burnside Heights,166,12,0.07
21463,Caroline Springs,327,27,0.08
21361,Hoppers Crossing - North,242,24,0.1
21362,Hoppers Crossing - South,287,34,0.12
21363,Laverton,130,33,0.25
21365,Tarneit,869,93,0.11
21366,Truganina,645,76,0.12
21368,Werribee - South,132,20,0.15
21369,Wyndham Vale,475,68,0.14
21464,Point Cook - East,291,34,0.12
21465,Point Cook - North,451,47,0.1
21466,Point Cook - South,457,41,0.09
21467,Werribee - East,291,29,0.1
21468,Werribee - West,169,17,0.1
21370,Carrum Downs,286,36,0.13
21371,Frankston,218,24,0.11
21372,Frankston North,225,36,0.16
21373,Frankston South,235,12,0.05
21374,Langwarrin,304,29,0.1
21375,Seaford (Vic.),194,14,0.07
21376,Skye - Sandhurst,180,20,0.11
21377,Dromana,118,14,0.12
21378,Flinders,52,5,0.1
21379,Hastings - Somers,285,56,0.2
21380,Mornington,232,17,0.07
21381,Mount Eliza,282,7,0.02
21382,Mount Martha,206,8,0.04
21383,Point Nepean,169,11,0.07
21384,Rosebud - McCrae,209,23,0.11
21385,Somerville,210,24,0.11
21386,Ararat,79,19,0.24
21387,Ararat Region,40,5,0.12
21388,Horsham,205,35,0.17
21389,Horsham Region,37,6,0.16
21390,Nhill Region,73,10,0.14
21391/21394,St Arnaud / Yarriambiack,65,8,0.12
21392,Stawell,93,8,0.09
21393,West Wimmera,31,5,0.16
21395,Irymple,89,8,0.09
21396,Merbein,56,2,0.04
21398,Mildura Region,30,3,0.1
21399,Red Cliffs,74,10,0.14
21469,Mildura - North,225,36,0.16
21470,Mildura - South,203,29,0.14
21400,Buloke,52,9,0.17
21401,Gannawarra,69,5,0.07
21402,Kerang,27,2,0.07
21403,Robinvale,53,8,0.15
21404,Swan Hill,166,27,0.16
21405,Swan Hill Region,73,4,0.05
21406,Echuca,189,24,0.13
21407/21410,Kyabram / Rushworth,182,30,0.16
21408,Lockington - Gunbower,46,6,0.13
21409,Rochester,39,3,0.08
21411,Cobram,61,7,0.11
21412,Moira,24,0,0.0
21413,Numurkah,136,11,0.08
21414,Yarrawonga,93,14,0.15
21415,Mooroopna,112,36,0.32
21416,Shepparton - North,223,40,0.18
21417,Shepparton - South,347,72,0.21
21418,Shepparton Region - East,45,5,0.11
21419,Shepparton Region - West,110,10,0.09
21420,Glenelg (Vic.),85,14,0.16
21421,Hamilton (Vic.),98,14,0.14
21422,Portland,103,22,0.21
21423,Southern Grampians,70,9,0.13
21471,Camperdown,45,5,0.11
21472,Colac,167,21,0.13
21473,Colac Region,58,2,0.03
21474,Corangamite - North,63,11,0.17
21475,Corangamite - South,97,10,0.1
21476,Otway,28,3,0.11
21477,Moyne - East,74,2,0.03
21478,Moyne - West,109,10,0.09
21479,Warrnambool - North,209,20,0.1
21480,Warrnambool - South,138,8,0.06
