code,name,total,on_track,at_risk,vulnerable,vulnerable_percentage
21413,Numurkah,136,112,14,10,0.07
21414,Yarrawonga,85,58,19,8,0.09
21415,Mooroopna,112,64,13,35,0.31
21416,Shepparton - North,223,163,28,32,0.14
21417,Shepparton - South,347,252,50,45,0.13
21418,Shepparton Region - East,45,36,4,5,0.11
21419,Shepparton Region - West,110,90,15,5,0.05
21420,Glenelg (Vic.),85,62,15,8,0.09
21421,Hamilton (Vic.),98,70,16,12,0.12
21422,Portland,103,63,15,25,0.24
21423,Southern Grampians,70,48,15,7,0.1
21471,Camperdown,45,33,10,2,0.04
21472,Colac,167,121,26,20,0.12
21473,Colac Region,58,40,15,3,0.05
21474,Corangamite - North,63,41,14,8,0.13
21475,Corangamite - South,97,72,16,9,0.09
21476,Otway,28,20,4,4,0.14
21477,Moyne - East,74,69,4,1,0.01
21478,Moyne - West,109,84,15,10,0.09
21479,Warrnambool - North,209,184,13,12,0.06
21480,Warrnambool - South,138,122,10,6,0.04
