SA2_MAINCODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EPT_DC_0_4,M_LPLFS_EAW_DC_0_4,M_LPLFS_HNS_DC_0_4,M_LPLFS_EW_T_DC_0_4,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_U_T_DC_0_4,M_LPLFS_T_LF_DC_0_4,M_LPLFS_NLF_DC_0_4,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_T_DC_0_4,F_LPLFS_EFT_DC_0_4,F_LPLFS_EPT_DC_0_4,F_LPLFS_EAW_DC_0_4,F_LPLFS_HNS_DC_0_4,F_LPLFS_EW_T_DC_0_4,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_U_T_DC_0_4,F_LPLFS_T_LF_DC_0_4,F_LPLFS_NLF_DC_0_4,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_T_DC_0_4,T_LPLFS_EFT_DC_0_4
216031418,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,6,0,0,0,6,18,0,18,9
216031419,0,0,0,0,0,0,0,0,0,0,0,3,9,15,7,0,29,0,0,0,29,36,0,67,12
217011420,3,0,0,0,3,0,0,0,0,0,0,0,3,10,0,0,15,0,0,0,15,32,0,48,5
217011421,0,0,0,0,0,0,0,0,0,3,0,3,3,22,8,0,26,0,0,0,28,51,0,78,3
217011422,0,0,0,0,0,0,0,0,4,3,0,3,5,18,3,0,24,0,0,0,26,76,0,104,9
217011423,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,5,11,0,10,0
217031471,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,0,3,3,14,19,0,27,0
217031472,0,4,0,0,3,0,0,0,3,4,0,10,12,33,0,0,51,0,3,3,50,99,0,154,9
217031473,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,4,0,0,0,4,15,0,19,0
217031474,3,0,0,0,4,0,0,0,4,0,0,4,0,5,6,0,15,0,3,3,17,30,0,46,0
217031475,3,0,0,0,3,0,0,0,3,4,0,7,0,16,0,0,14,0,3,3,21,30,0,50,3
217031476,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,11,3,0,12,0
217041477,3,0,0,0,3,0,0,0,3,4,0,7,3,11,0,0,13,0,0,0,19,10,0,28,3
217041478,0,0,0,0,3,0,0,0,3,0,0,3,6,17,0,0,25,0,0,0,22,27,0,47,5
217041479,4,0,0,0,4,0,0,0,4,3,3,12,14,44,13,0,69,4,3,6,76,122,4,208,15
217041480,4,0,0,0,4,0,0,0,4,3,0,6,5,29,3,0,40,0,0,0,40,63,3,106,9
297979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299999499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
