,SA2_MAINCODE_2016,SA2_name,Index of Relative Socio-economic Disadvantage: Score,Male_Lone_Parent_Employed_Worked_Full_Time,Female_Lone_Parent_Employed_Worked_Full_Time,Total_Lone_Parents_Employed_Worked_Full_Time,Male_Lone_Parent_Total_Employed,Female_Lone_Parent_Total_Employed,Total_Lone_Parents_Total_Employed,Male_Lone_Parent_Total_Unemployed,Female_Lone_Parent_Total_Unemployed,Total_Lone_Parents_Total_Unemployed,Male_Lone_Parent_Total,Female_Lone_Parent_Total,Total_Lone_Parents_Total,Female_parent_Employed_worked_Full_time_Male_parent_Employed_Worked_full_time,Female_parent_Employed_worked_Full_time_Male_parent_Employed_Worked_part_time,Female_parent_Employed_worked_Full_time_Male_parent_Unemployed_looking_for_Total,Female_parent_Employed_worked_Full_time_Male_parent_Not_in_the_labour_force,Female_parent_Employed_worked_Full_time_Total,Female_parent_Employed_worked_Part_time_Male_parent_Employed_Worked_full_time,Female_parent_Employed_worked_Part_time_Male_parent_Employed_Worked_part_time,Female_parent_Employed_worked_Part_time_Male_parent_Employed_Total,Female_parent_Employed_worked_Part_time_Total,Female_parent_Employed_away_from_work_Male_parent_Employed_Total,Female_parent_Total_Employed_Male_Parent_Employed_Total,Female_parent_Total_Unemployed_Male_Parent_Employed_Total,Female_parent_Total_Unemployed_Male_Parent_Unemployed_Looking_For_Total,Female_parent_Not_in_the_labour_force_Male_parent_Employed_Total,Female_parent_Not_in_the_labour_force_Male_parent_Not_in_the_labour_force,Female_parent_Total_Total,code,name,total,vulnerable,vulnerable_percentage
0,201011001,Alfredton,1045,3,3,3,3,34,36,0,3,3,3,77,82,64,12,0,3,85,281,16,308,314,82,469,14,3,184,10,696,21001,Alfredton,154,23,0.15
1,201011002,Ballarat,1035,5,0,5,5,26,32,0,9,9,9,71,77,49,10,0,0,64,167,34,200,210,45,305,4,0,120,9,466,21002,Ballarat,116,16,0.14
2,201011003,Ballarat - North,999,7,7,16,10,63,71,3,13,18,12,192,198,86,16,3,9,117,407,45,454,472,122,687,17,0,332,31,1116,21003,Ballarat - North,282,48,0.17
3,201011004,Ballarat - South,926,7,15,18,6,101,108,0,15,22,19,373,388,66,15,5,10,99,372,44,421,442,91,608,25,3,307,52,1070,21004,Ballarat - South,281,52,0.19
4,201011005,Buninyong,1066,0,0,0,0,10,9,0,0,0,0,24,29,30,0,0,3,34,122,21,146,148,45,225,8,0,108,4,353,21005,Buninyong,107,20,0.19
5,201011006,Delacombe,968,0,3,3,3,27,28,0,10,10,3,88,89,43,4,0,7,54,145,9,159,160,25,234,9,0,68,15,339,21006,Delacombe,103,23,0.22
6,201011007,Smythes Creek,1052,0,0,0,0,3,3,0,4,4,0,15,15,21,3,0,0,17,61,6,65,72,20,114,0,0,69,3,187,21007,Smythes Creek,49,8,0.16
7,201011008,Wendouree - Miners Rest,906,3,9,13,3,47,50,0,16,16,5,221,227,46,11,3,3,70,257,33,290,308,52,406,11,0,195,33,697,21008,Wendouree - Miners Rest,182,59,0.32
8,201021009,Bacchus Marsh Region,1012,0,6,9,3,17,16,0,0,0,3,39,39,22,0,5,4,32,88,7,99,108,22,152,0,0,79,4,261,21009,Bacchus Marsh Region,60,8,0.13
9,201021010,Creswick - Clunes,984,0,3,6,3,11,13,3,0,3,3,43,50,15,3,0,3,15,107,13,119,130,30,172,4,0,88,15,290,21010,Creswick - Clunes,82,8,0.1
10,201021011,Daylesford,1007,0,3,3,0,22,23,0,0,0,0,53,52,9,7,3,3,23,83,24,106,117,28,156,5,0,99,6,285,21011,Daylesford,59,22,0.37
11,201021012,Gordon (Vic.),1023,0,0,0,0,7,7,0,0,0,0,30,36,18,6,0,0,23,71,8,81,88,12,119,3,0,80,10,223,21012,Gordon (Vic.),58,11,0.19
12,201031013,Avoca,931,0,0,0,0,0,0,0,0,0,0,8,8,11,3,0,0,12,32,0,36,36,9,58,0,0,41,6,115,21013,Avoca,32,7,0.22
13,201031014,Beaufort,969,0,5,7,0,14,15,0,3,3,4,31,33,13,0,0,0,13,64,7,69,68,14,100,3,0,49,0,155,21014,Beaufort,43,6,0.14
14,201031015,Golden Plains - North,993,0,0,0,0,7,7,0,0,0,0,23,25,12,0,0,0,13,78,9,87,89,14,116,10,0,71,3,198,21015,Golden Plains - North,54,14,0.26
