code,name,total,vulnerable,vulnerable_percentage
21174,Bentleigh - McKinnon,279,30,0.11
21176,Carnegie,163,21,0.13
21177,Caulfield - North,163,22,0.13
21178,Caulfield - South,159,28,0.18
21179,Elsternwick,92,7,0.08
21180,Hughesdale,88,10,0.11
21181,Murrumbeena,87,12,0.14
21182,Ormond - Glen Huntly,135,20,0.15
21426,Bentleigh East (North),158,29,0.18
21427,Bentleigh East (South),188,25,0.13
21183,Aspendale Gardens - Waterways,128,18,0.14
21184/21193,Braeside / Mordialloc - Parkdale,219,38,0.17
21185,Carrum - Patterson Lakes,144,18,0.12
21186,Chelsea - Bonbeach,176,29,0.16
21187,Chelsea Heights,75,9,0.12
21188,Cheltenham - Highett (East),252,37,0.15
21189,Edithvale - Aspendale,157,31,0.2
21190,Mentone,134,14,0.1
21191/21192,Moorabbin - Heatherton / Moorabbin Airport,118,15,0.13
21194,Malvern - Glen Iris,151,26,0.17
21195,Malvern East,212,28,0.13
21196,Bundoora - East,82,19,0.23
21197,Greensborough,241,24,0.1
21198,Heidelberg - Rosanna,196,25,0.13
21199,Heidelberg West,167,40,0.24
21200,Ivanhoe,115,8,0.07
21201,Ivanhoe East - Eaglemont,84,6,0.07
21202,Montmorency - Briar Hill,197,42,0.21
21203,Viewbank - Yallambie,242,25,0.1
21204,Watsonia,104,18,0.17
21205,Kingsbury,86,20,0.23
21207,Reservoir - East,283,55,0.19
21208,Reservoir - West,268,45,0.17
21428,Preston - East,196,40,0.2
21429,Preston - West,185,39,0.21
21209,Eltham,265,41,0.15
21210,Hurstbridge,54,3,0.06
21211,Kinglake,45,8,0.18
21212,Panton Hill - St Andrews,36,3,0.08
21213,Plenty - Yarrambat,106,8,0.08
21214,Research - North Warrandyte,81,5,0.06
21215,Wattle Glen - Diamond Creek,162,17,0.1
21216,Bundoora - North,60,11,0.18
21217,Bundoora - West,42,13,0.31
21219,Lalor,239,62,0.26
21220,Mill Park - North,164,28,0.17
21221,Mill Park - South,123,25,0.2
21223,Thomastown,199,51,0.26
21224,Wallan,281,44,0.16
21225,Whittlesea,81,12,0.15
21430,Doreen,451,74,0.16
21431,Epping - East,171,48,0.28
21432,Epping - South,101,24,0.24
21433,Epping - West,260,59,0.23
21434/21437,Mernda / Wollert,607,109,0.18
21435,South Morang (North),208,30,0.14
21436,South Morang (South),147,37,0.25
21226/21227,Airport West / Essendon Airport,47,4,0.09
21228,Keilor,76,12,0.16
21229,Keilor East,282,56,0.2
21230,Niddrie - Essendon West,59,6,0.1
21231,Strathmore,134,21,0.16
21232,Gisborne,223,40,0.18
21233,Macedon,32,2,0.06
21234,Riddells Creek,57,11,0.19
21235,Romsey,122,26,0.21
21236,Coburg North,95,20,0.21
21237,Fawkner,220,56,0.25
21239,Pascoe Vale,254,44,0.17
21438,Glenroy,300,97,0.32
21439,Gowanbrae,27,1,0.04
21440,Hadfield,77,18,0.23
21240,Sunbury,167,22,0.13
21241,Sunbury - South,334,65,0.19
21242,Broadmeadows,204,76,0.37
21243,Campbellfield - Coolaroo,227,105,0.46
21245,Gladstone Park - Westmeadows,196,59,0.3
21246,Greenvale - Bulla,165,40,0.24
21247,Meadow Heights,237,88,0.37
21248/21250,Melbourne Airport / Tullamarine,62,13,0.21
21249,Roxburgh Park - Somerton,338,113,0.33
21441,Craigieburn - Central,127,57,0.45
