code,name,total,on_track,at_risk,vulnerable,vulnerable_percentage
21146,Ashburton (Vic.),120,98,15,7,0.06
21147,Balwyn,156,139,10,7,0.04
21148,Balwyn North,246,204,24,18,0.07
21149,Camberwell,244,212,26,6,0.02
21150,Glen Iris - East,202,168,26,8,0.04
21151,Hawthorn,132,121,7,4,0.03
21152,Hawthorn East,157,128,19,10,0.06
21153,Kew,183,144,28,11,0.06
21154,Kew East,56,48,3,5,0.09
21155,Surrey Hills (West) - Canterbury,154,138,14,2,0.01
21156,Bulleen,70,63,5,2,0.03
21157,Doncaster,210,167,27,16,0.08
21159,Templestowe,151,123,18,10,0.07
21160,Templestowe Lower,114,104,4,6,0.05
21424,Doncaster East (North),175,122,40,13,0.07
21425,Doncaster East (South),206,153,39,14,0.07
21161,Blackburn,238,192,25,21,0.09
21162,Blackburn South,132,117,12,3,0.02
21163,Box Hill,174,153,17,4,0.02
21164,Box Hill North,208,182,18,8,0.04
21165,Burwood,81,75,4,2,0.02
21166,Burwood East,100,88,6,6,0.06
21167,Surrey Hills (East) - Mont Albert,115,109,3,3,0.03
21168,Beaumaris,161,148,6,7,0.04
21169,Brighton (Vic.),221,202,12,7,0.03
21170,Brighton East,199,177,14,8,0.04
21171,Cheltenham - Highett (West),184,170,9,5,0.03
21172,Hampton,207,173,24,10,0.05
21173,Sandringham - Black Rock,160,147,10,3,0.02
21174,Bentleigh - McKinnon,279,250,20,9,0.03
21176,Carnegie,163,142,16,5,0.03
21177,Caulfield - North,163,144,12,7,0.04
21178,Caulfield - South,162,141,13,8,0.05
21179,Elsternwick,93,92,0,1,0.01
21180,Hughesdale,88,74,11,3,0.03
21181,Murrumbeena,87,75,5,7,0.08
21182,Ormond - Glen Huntly,135,115,12,8,0.06
21426,Bentleigh East (North),159,124,21,14,0.09
21427,Bentleigh East (South),188,150,25,13,0.07
21183,Aspendale Gardens - Waterways,128,107,14,7,0.05
21184/21193,Braeside / Mordialloc - Parkdale,219,167,41,11,0.05
21185,Carrum - Patterson Lakes,144,124,13,7,0.05
21186,Chelsea - Bonbeach,177,142,24,11,0.06
21187,Chelsea Heights,75,69,4,2,0.03
21188,Cheltenham - Highett (East),253,208,33,12,0.05
21189,Edithvale - Aspendale,157,120,23,14,0.09
21190,Mentone,135,119,13,3,0.02
21191/21192,Moorabbin - Heatherton / Moorabbin Airport,118,95,13,10,0.08
21194,Malvern - Glen Iris,151,123,18,10,0.07
21195,Malvern East,213,185,13,15,0.07
21196,Bundoora - East,82,69,5,8,0.1
21197,Greensborough,241,212,17,12,0.05
21198,Heidelberg - Rosanna,196,172,13,11,0.06
21199,Heidelberg West,167,134,14,19,0.11
21200,Ivanhoe,115,106,7,2,0.02
21201,Ivanhoe East - Eaglemont,86,73,10,3,0.03
21202,Montmorency - Briar Hill,197,141,47,9,0.05
21203,Viewbank - Yallambie,243,205,27,11,0.05
21204,Watsonia,104,89,8,7,0.07
21205,Kingsbury,88,73,5,10,0.11
21207,Reservoir - East,284,210,50,24,0.08
21208,Reservoir - West,269,233,22,14,0.05
21428,Preston - East,196,156,22,18,0.09
21429,Preston - West,186,142,26,18,0.1
21209,Eltham,265,216,32,17,0.06
21210,Hurstbridge,54,49,3,2,0.04
21211,Kinglake,45,40,1,4,0.09
21212,Panton Hill - St Andrews,36,28,7,1,0.03
21213,Plenty - Yarrambat,106,100,4,2,0.02
21214,Research - North Warrandyte,81,77,3,1,0.01
21215,Wattle Glen - Diamond Creek,162,142,15,5,0.03
21216,Bundoora - North,60,47,9,4,0.07
21217,Bundoora - West,42,28,11,3,0.07
21219,Lalor,239,189,33,17,0.07
21220,Mill Park - North,164,131,23,10,0.06
21221,Mill Park - South,124,97,12,15,0.12
21223,Thomastown,199,154,24,21,0.11
21224,Wallan,284,253,15,16,0.06
21225,Whittlesea,81,67,8,6,0.07
21430,Doreen,456,396,31,29,0.06
21431,Epping - East,171,123,23,25,0.15
21432,Epping - South,101,83,9,9,0.09
21433,Epping - West,261,200,37,24,0.09
21434/21437,Mernda / Wollert,608,494,69,45,0.07
21435,South Morang (North),208,170,24,14,0.07
21436,South Morang (South),147,105,24,18,0.12
21226/21227,Airport West / Essendon Airport,47,41,4,2,0.04
21228,Keilor,76,64,6,6,0.08
21229,Keilor East,283,223,41,19,0.07
21230,Niddrie - Essendon West,59,50,7,2,0.03
21231,Strathmore,134,114,14,6,0.04
21232,Gisborne,223,166,32,25,0.11
21233,Macedon,32,26,6,0,0.0
21234,Riddells Creek,57,46,6,5,0.09
21235,Romsey,122,103,12,7,0.06
21236,Coburg North,95,71,17,7,0.07
21237,Fawkner,220,179,25,16,0.07
21239,Pascoe Vale,256,218,26,12,0.05
21438,Glenroy,300,220,32,48,0.16
21439,Gowanbrae,27,24,2,1,0.04
21440,Hadfield,77,58,13,6,0.08
21240,Sunbury,169,140,21,8,0.05
21241,Sunbury - South,336,254,46,36,0.11
21242,Broadmeadows,205,130,34,41,0.2
21243,Campbellfield - Coolaroo,228,124,46,58,0.25
21245,Gladstone Park - Westmeadows,201,157,22,22,0.11
21246,Greenvale - Bulla,166,122,26,18,0.11
21247,Meadow Heights,239,164,32,43,0.18
21248/21250,Melbourne Airport / Tullamarine,62,52,6,4,0.06
21249,Roxburgh Park - Somerton,338,239,42,57,0.17
21441,Craigieburn - Central,129,84,24,21,0.16
21442/21445,Craigieburn - North / Mickleham - Yuroke,370,300,32,38,0.1
21443,Craigieburn - South,302,232,45,25,0.08
21444,Craigieburn - West,420,322,61,37,0.09
21251,Bayswater,112,89,14,9,0.08
21254,Knoxfield - Scoresby,184,169,5,10,0.05
21255,Lysterfield,51,40,7,4,0.08
21256,Rowville - Central,138,108,25,5,0.04
21257,Rowville - North,92,81,7,4,0.04
21258,Rowville - South,75,64,7,4,0.05
21259,Wantirna,158,138,10,10,0.06
21260,Wantirna South,156,137,11,8,0.05
21446,Boronia,227,172,26,29,0.13
21447,Ferntree Gully (North),165,141,16,8,0.05
21448,Ferntree Gully (South) - Upper Ferntree,167,144,17,6,0.04
21449,The Basin,58,44,10,4,0.07
21261,Donvale - Park Orchards,158,127,20,11,0.07
21262,Warrandyte - Wonga Park,93,82,5,6,0.06
21263,Bayswater North,138,118,12,8,0.06
21265,Croydon Hills - Warranwood,221,189,16,16,0.07
21266,Ringwood,212,175,25,12,0.06
21267,Ringwood East,258,213,26,19,0.07
21268,Ringwood North,128,105,15,8,0.06
21450,Croydon - East,138,97,21,20,0.14
21451,Croydon - West,131,115,9,7,0.05
21452,Croydon South,41,30,8,3,0.07
21269,Forest Hill,112,98,10,4,0.04
21270,Mitcham (Vic.),205,178,16,11,0.05
21271,Nunawading,147,118,16,13,0.09
21272,Vermont,138,118,17,3,0.02
21273,Vermont South,70,67,2,1,0.01
21274,Belgrave - Selby,100,84,14,2,0.02
21275,Chirnside Park,132,105,16,11,0.08
21276,Healesville - Yarra Glen,162,121,23,18,0.11
21277,Kilsyth,98,84,10,4,0.04
21278,Lilydale - Coldstream,208,168,25,15,0.07
21279,Monbulk - Silvan,52,40,12,0,0.0
21280,Montrose,92,77,6,9,0.1
21281,Mooroolbark,242,188,32,22,0.09
21282,Mount Dandenong - Olinda,124,93,16,15,0.12
21283,Mount Evelyn,128,89,28,11,0.09
21284,Upwey - Tecoma,112,97,9,6,0.05
21285,Wandin - Seville,92,74,12,6,0.07
21286,Yarra Valley,186,142,28,16,0.09
21287,Beaconsfield - Officer,250,186,35,29,0.12
21288,Bunyip - Garfield,116,99,10,7,0.06
21289,Emerald - Cockatoo,236,193,21,22,0.09
21290,Koo Wee Rup,101,89,7,5,0.05
21291,Pakenham - North,374,321,28,25,0.07
21292,Pakenham - South,536,469,34,33,0.06
21293,Berwick - North,266,226,29,11,0.04
21294,Berwick - South,438,382,31,25,0.06
21295,Doveton,147,105,23,19,0.13
21297,Hallam,139,114,10,15,0.11
21299,Narre Warren North,61,56,5,0,0.0
21453,Endeavour Hills - North,122,105,9,8,0.07
21454,Endeavour Hills - South,164,132,18,14,0.09
21455,Narre Warren - North East,178,151,13,14,0.08
21456,Narre Warren - South West,164,140,10,14,0.09
21300,Cranbourne,323,247,45,31,0.1
21301,Cranbourne East,730,612,66,52,0.07
21302,Cranbourne North,459,391,33,35,0.08
21303,Cranbourne South,147,114,16,17,0.12
21304,Cranbourne West,382,317,33,32,0.08
21305,Hampton Park - Lynbrook,379,303,40,36,0.09
21306,Lynbrook - Lyndhurst,350,305,24,21,0.06
21308,Pearcedale - Tooradin,105,76,15,14,0.13
21457,Narre Warren South (East),184,160,14,10,0.05
21458,Narre Warren South (West),261,213,24,24,0.09
21309,Clarinda - Oakleigh South,135,105,19,11,0.08
21310,Clayton South,146,115,19,12,0.08
21311,Dandenong,414,321,45,48,0.12
21312,Dandenong North,256,208,23,25,0.1
21313,Dingley Village,99,88,6,5,0.05
21314,Keysborough,319,263,33,23,0.07
21316,Noble Park North,82,72,5,5,0.06
21317,Springvale,246,189,28,29,0.12
21318,Springvale South,175,137,17,21,0.12
21459,Noble Park - East,117,93,9,15,0.13
21460,Noble Park - West,218,170,25,23,0.11
21319,Ashwood - Chadstone,209,173,15,21,0.1
21320,Clayton,143,117,13,13,0.09
21321,Glen Waverley - East,275,255,12,8,0.03
21322,Glen Waverley - West,227,195,16,16,0.07
21323,Mount Waverley - North,170,143,17,10,0.06
21324,Mount Waverley - South,224,195,15,14,0.06
21325,Mulgrave,237,205,19,13,0.05
21326,Oakleigh - Huntingdale,227,198,16,13,0.06
21327,Wheelers Hill,205,178,19,8,0.04
21328,Ardeer - Albion,94,58,18,18,0.19
21329,Cairnlea,154,136,10,8,0.05
21330,Deer Park - Derrimut,463,384,51,28,0.06
21331,Delahey,77,62,5,10,0.13
21332,Keilor Downs,166,142,12,12,0.07
21333,Kings Park (Vic.),182,152,19,11,0.06
21334,St Albans - North,267,186,34,47,0.18
21335,St Albans - South,202,145,25,32,0.16
21336,Sunshine,118,107,6,5,0.04
21337,Sunshine North,151,141,5,5,0.03
21338,Sunshine West,211,164,28,19,0.09
21339,Sydenham,121,98,18,5,0.04
21340,Taylors Lakes,141,113,9,19,0.13
21341,Altona,151,126,15,10,0.07
21342,Altona Meadows,195,131,36,28,0.14
21343,Altona North,144,106,22,16,0.11
21344,Newport,272,244,10,18,0.07
21345,Seabrook,106,95,4,7,0.07
21346,Williamstown,193,162,20,11,0.06
21347,Braybrook,191,161,20,10,0.05
21348,Footscray,136,118,10,8,0.06
21349,Maribyrnong,117,103,10,4,0.03
21350,Seddon - Kingsville,135,102,28,5,0.04
21351,West Footscray - Tottenham,145,124,18,3,0.02
21352,Yarraville,210,174,14,22,0.1
21353,Bacchus Marsh,284,252,22,10,0.04
21355,Hillside,316,259,30,27,0.09
21356,Melton,295,226,41,28,0.09
21357,Melton South,488,394,50,44,0.09
21358,Melton West,311,249,34,28,0.09
21359,Rockbank - Mount Cottrell,44,40,1,3,0.07
21360,Taylors Hill,327,274,29,24,0.07
21461,Burnside,83,71,6,6,0.07
21462,Burnside Heights,166,139,19,8,0.05
21463,Caroline Springs,329,268,41,20,0.06
21361,Hoppers Crossing - North,242,176,43,23,0.1
21362,Hoppers Crossing - South,286,240,28,18,0.06
21363,Laverton,130,92,7,31,0.24
21365,Tarneit,869,685,105,79,0.09
21366,Truganina,646,521,68,57,0.09
21368,Werribee - South,132,97,24,11,0.08
21369,Wyndham Vale,475,361,67,47,0.1
21464,Point Cook - East,291,232,32,27,0.09
21465,Point Cook - North,451,397,28,26,0.06
21466,Point Cook - South,457,391,30,36,0.08
21467,Werribee - East,293,222,44,27,0.09
21468,Werribee - West,169,119,35,15,0.09
21370,Carrum Downs,287,225,39,23,0.08
21371,Frankston,218,160,32,26,0.12
21372,Frankston North,225,178,25,22,0.1
21373,Frankston South,236,203,25,8,0.03
21374,Langwarrin,304,245,36,23,0.08
21375,Seaford (Vic.),194,174,13,7,0.04
21376,Skye - Sandhurst,180,145,18,17,0.09
21377,Dromana,118,90,16,12,0.1
21378,Flinders,52,34,14,4,0.08
21379,Hastings - Somers,286,204,43,39,0.14
21380,Mornington,233,203,14,16,0.07
21381,Mount Eliza,282,241,27,14,0.05
21382,Mount Martha,206,172,29,5,0.02
21383,Point Nepean,169,146,16,7,0.04
21384,Rosebud - McCrae,209,162,27,20,0.1
21385,Somerville,210,157,32,21,0.1
21386,Ararat,79,55,8,16,0.2
21387,Ararat Region,40,35,4,1,0.03
21388,Horsham,205,152,27,26,0.13
21389,Horsham Region,37,29,5,3,0.08
21390,Nhill Region,73,56,7,10,0.14
21391/21394,St Arnaud / Yarriambiack,65,47,8,10,0.15
21392,Stawell,93,82,7,4,0.04
21393,West Wimmera,31,22,4,5,0.16
21395,Irymple,89,77,7,5,0.06
21396,Merbein,56,51,2,3,0.05
21398,Mildura Region,30,25,1,4,0.13
21399,Red Cliffs,74,38,21,15,0.2
21469,Mildura - North,225,172,25,28,0.12
21470,Mildura - South,203,146,38,19,0.09
21400,Buloke,52,37,4,11,0.21
21401,Gannawarra,69,54,12,3,0.04
21402,Kerang,27,24,1,2,0.07
21403,Robinvale,55,41,9,5,0.09
21404,Swan Hill,166,117,31,18,0.11
21405,Swan Hill Region,73,58,10,5,0.07
21406,Echuca,189,117,50,22,0.12
21407/21410,Kyabram / Rushworth,182,148,12,22,0.12
21408,Lockington - Gunbower,46,33,7,6,0.13
21409,Rochester,39,31,5,3,0.08
21411,Cobram,61,48,8,5,0.08
21412,Moira,24,22,2,0,0.0
21413,Numurkah,136,108,17,11,0.08
21414,Yarrawonga,93,69,7,17,0.18
21415,Mooroopna,112,61,18,33,0.29
21416,Shepparton - North,223,166,26,31,0.14
21417,Shepparton - South,347,244,45,58,0.17
21418,Shepparton Region - East,45,39,2,4,0.09
21419,Shepparton Region - West,110,81,16,13,0.12
21420,Glenelg (Vic.),85,65,7,13,0.15
21421,Hamilton (Vic.),98,79,10,9,0.09
21422,Portland,103,74,15,14,0.14
21423,Southern Grampians,70,52,5,13,0.19
21471,Camperdown,45,35,5,5,0.11
21472,Colac,167,129,16,22,0.13
21473,Colac Region,58,46,9,3,0.05
21474,Corangamite - North,63,50,1,12,0.19
21475,Corangamite - South,97,80,8,9,0.09
21476,Otway,28,22,4,2,0.07
21477,Moyne - East,74,64,7,3,0.04
21478,Moyne - West,109,93,8,8,0.07
21479,Warrnambool - North,209,176,17,16,0.08
21480,Warrnambool - South,138,121,12,5,0.04
