code,name,total,on_track,at_risk,vulnerable,vulnerable_percentage
21146,Ashburton (Vic.),120,108,9,3,0.03
21147,Balwyn,156,129,18,9,0.06
21148,Balwyn North,246,193,34,19,0.08
21149,Camberwell,244,204,31,9,0.04
21150,Glen Iris - East,202,174,20,8,0.04
21151,Hawthorn,132,120,9,3,0.02
21152,Hawthorn East,157,129,18,10,0.06
21153,Kew,183,150,24,9,0.05
21154,Kew East,56,47,6,3,0.05
21155,Surrey Hills (West) - Canterbury,154,139,12,3,0.02
21156,Bulleen,70,62,5,3,0.04
21157,Doncaster,210,151,28,31,0.15
21159,Templestowe,151,119,15,17,0.11
21160,Templestowe Lower,114,97,9,8,0.07
21424,Doncaster East (North),175,126,26,23,0.13
21425,Doncaster East (South),206,155,32,19,0.09
21161,Blackburn,238,189,32,17,0.07
21162,Blackburn South,132,108,18,6,0.05
21163,Box Hill,174,145,19,10,0.06
21164,Box Hill North,208,163,34,11,0.05
21165,Burwood,81,66,10,5,0.06
21166,Burwood East,100,86,10,4,0.04
21167,Surrey Hills (East) - Mont Albert,115,107,6,2,0.02
21168,Beaumaris,161,140,14,7,0.04
21169,Brighton (Vic.),221,184,23,14,0.06
21170,Brighton East,199,175,15,9,0.05
21171,Cheltenham - Highett (West),184,164,15,5,0.03
21172,Hampton,207,174,21,12,0.06
21173,Sandringham - Black Rock,160,147,11,2,0.01
21174,Bentleigh - McKinnon,279,239,28,12,0.04
21176,Carnegie,163,127,23,13,0.08
21177,Caulfield - North,163,131,20,12,0.07
21178,Caulfield - South,162,119,27,16,0.1
21179,Elsternwick,93,80,10,3,0.03
21180,Hughesdale,88,76,7,5,0.06
21181,Murrumbeena,87,72,12,3,0.03
21182,Ormond - Glen Huntly,135,107,18,10,0.07
21426,Bentleigh East (North),159,126,19,14,0.09
21427,Bentleigh East (South),188,159,18,11,0.06
21183,Aspendale Gardens - Waterways,128,104,14,10,0.08
21184/21193,Braeside / Mordialloc - Parkdale,219,169,26,24,0.11
21185,Carrum - Patterson Lakes,144,121,19,4,0.03
21186,Chelsea - Bonbeach,177,151,19,7,0.04
21187,Chelsea Heights,75,62,8,5,0.07
21188,Cheltenham - Highett (East),253,206,36,11,0.04
21189,Edithvale - Aspendale,157,121,22,14,0.09
21190,Mentone,135,116,15,4,0.03
21191/21192,Moorabbin - Heatherton / Moorabbin Airport,118,100,14,4,0.03
21194,Malvern - Glen Iris,151,121,18,12,0.08
21195,Malvern East,213,173,26,14,0.07
21196,Bundoora - East,82,61,14,7,0.09
21197,Greensborough,241,208,26,7,0.03
21198,Heidelberg - Rosanna,196,165,24,7,0.04
21199,Heidelberg West,167,127,23,17,0.1
21200,Ivanhoe,115,98,13,4,0.03
21201,Ivanhoe East - Eaglemont,86,81,2,3,0.03
21202,Montmorency - Briar Hill,197,152,21,24,0.12
21203,Viewbank - Yallambie,243,205,28,10,0.04
21204,Watsonia,104,82,12,10,0.1
21205,Kingsbury,88,73,9,6,0.07
21207,Reservoir - East,284,212,44,28,0.1
21208,Reservoir - West,269,222,31,16,0.06
21428,Preston - East,196,156,24,16,0.08
21429,Preston - West,186,148,24,14,0.08
21209,Eltham,265,218,25,22,0.08
21210,Hurstbridge,54,45,7,2,0.04
21211,Kinglake,45,36,7,2,0.04
21212,Panton Hill - St Andrews,36,34,1,1,0.03
21213,Plenty - Yarrambat,106,96,5,5,0.05
21214,Research - North Warrandyte,81,74,6,1,0.01
21215,Wattle Glen - Diamond Creek,162,135,18,9,0.06
21216,Bundoora - North,60,47,12,1,0.02
21217,Bundoora - West,42,31,9,2,0.05
21219,Lalor,239,169,49,21,0.09
21220,Mill Park - North,164,131,25,8,0.05
21221,Mill Park - South,124,101,20,3,0.02
21223,Thomastown,199,144,30,25,0.13
21224,Wallan,284,231,33,20,0.07
21225,Whittlesea,81,63,9,9,0.11
21430,Doreen,456,370,51,35,0.08
21431,Epping - East,171,119,37,15,0.09
21432,Epping - South,101,80,10,11,0.11
21433,Epping - West,261,188,46,27,0.1
21434/21437,Mernda / Wollert,609,473,92,44,0.07
21435,South Morang (North),208,179,20,9,0.04
21436,South Morang (South),147,110,22,15,0.1
21226/21227,Airport West / Essendon Airport,47,39,7,1,0.02
21228,Keilor,76,63,9,4,0.05
21229,Keilor East,283,217,28,38,0.13
21230,Niddrie - Essendon West,59,50,7,2,0.03
21231,Strathmore,134,107,20,7,0.05
21232,Gisborne,223,178,28,17,0.08
21233,Macedon,32,25,6,1,0.03
21234,Riddells Creek,57,44,9,4,0.07
21235,Romsey,122,96,16,10,0.08
21236,Coburg North,95,76,7,12,0.13
21237,Fawkner,220,161,30,29,0.13
21239,Pascoe Vale,256,198,34,24,0.09
21438,Glenroy,300,207,46,47,0.16
21439,Gowanbrae,27,21,6,0,0.0
21440,Hadfield,77,55,15,7,0.09
21240,Sunbury,169,141,20,8,0.05
21241,Sunbury - South,336,264,50,22,0.07
21242,Broadmeadows,205,131,36,38,0.19
21243,Campbellfield - Coolaroo,228,135,35,58,0.25
21245,Gladstone Park - Westmeadows,201,136,38,27,0.13
21246,Greenvale - Bulla,166,124,23,19,0.11
21247,Meadow Heights,239,162,37,40,0.17
