code,name,total,on_track,at_risk,vulnerable,vulnerable_percentage
21406,Echuca,189,154,18,17,0.09
21407/21410,Kyabram / Rushworth,181,140,23,18,0.1
21408,Lockington - Gunbower,46,39,4,3,0.07
21409,Rochester,39,26,11,2,0.05
21411,Cobram,61,43,11,7,0.11
21412,Moira,24,23,1,0,0.0
21413,Numurkah,136,106,24,6,0.04
21414,Yarrawonga,93,80,5,8,0.09
21415,Mooroopna,112,75,19,18,0.16
21416,Shepparton - North,223,166,26,31,0.14
21417,Shepparton - South,347,252,37,58,0.17
21418,Shepparton Region - East,45,42,0,3,0.07
21419,Shepparton Region - West,110,97,9,4,0.04
21420,Glenelg (Vic.),85,69,10,6,0.07
21421,Hamilton (Vic.),98,80,12,6,0.06
21422,Portland,103,89,7,7,0.07
21423,Southern Grampians,70,59,6,5,0.07
21471,Camperdown,45,41,1,3,0.07
21472,Colac,167,137,18,12,0.07
21473,Colac Region,58,48,8,2,0.03
21474,Corangamite - North,63,52,7,4,0.06
21475,Corangamite - South,97,83,7,7,0.07
21476,Otway,28,24,2,2,0.07
21477,Moyne - East,74,71,1,2,0.03
21478,Moyne - West,109,93,8,8,0.07
21479,Warrnambool - North,209,169,19,21,0.1
21480,Warrnambool - South,138,125,5,8,0.06
