code,name,total,on_track,at_risk,vulnerable,vulnerable_percentage
21452,Croydon South,41,35,3,3,0.07
21269,Forest Hill,112,94,14,4,0.04
21270,Mitcham (Vic.),205,169,23,13,0.06
21271,Nunawading,147,129,9,9,0.06
21272,Vermont,138,114,18,6,0.04
21273,Vermont South,70,60,8,2,0.03
21274,Belgrave - Selby,100,85,12,3,0.03
21275,Chirnside Park,132,103,21,8,0.06
21276,Healesville - Yarra Glen,162,140,13,9,0.06
21277,Kilsyth,98,83,11,4,0.04
21278,Lilydale - Coldstream,208,175,24,9,0.04
21279,Monbulk - Silvan,52,40,9,3,0.06
21280,Montrose,92,71,14,7,0.08
21281,Mooroolbark,242,192,31,19,0.08
21282,Mount Dandenong - Olinda,124,98,21,5,0.04
21283,Mount Evelyn,128,97,20,11,0.09
21284,Upwey - Tecoma,112,102,9,1,0.01
21285,Wandin - Seville,92,78,10,4,0.04
21286,Yarra Valley,186,134,38,14,0.08
21287,Beaconsfield - Officer,250,206,29,15,0.06
21288,Bunyip - Garfield,116,100,15,1,0.01
21289,Emerald - Cockatoo,236,203,24,9,0.04
21290,Koo Wee Rup,101,94,6,1,0.01
21291,Pakenham - North,374,315,43,16,0.04
21292,Pakenham - South,535,450,55,30,0.06
21293,Berwick - North,266,225,29,12,0.05
21294,Berwick - South,438,376,42,20,0.05
21295,Doveton,147,93,27,27,0.18
21297,Hallam,139,98,23,18,0.13
21299,Narre Warren North,61,55,6,0,0.0
21453,Endeavour Hills - North,122,103,9,10,0.08
21454,Endeavour Hills - South,164,126,13,25,0.15
21455,Narre Warren - North East,178,153,16,9,0.05
21456,Narre Warren - South West,164,124,23,17,0.1
21300,Cranbourne,323,243,44,36,0.11
21301,Cranbourne East,730,556,116,58,0.08
21302,Cranbourne North,458,354,63,41,0.09
21303,Cranbourne South,147,114,25,8,0.05
21304,Cranbourne West,382,300,46,36,0.09
21305,Hampton Park - Lynbrook,379,298,49,32,0.08
21306,Lynbrook - Lyndhurst,350,270,59,21,0.06
21308,Pearcedale - Tooradin,105,79,18,8,0.08
21457,Narre Warren South (East),184,155,14,15,0.08
21458,Narre Warren South (West),261,210,36,15,0.06
21309,Clarinda - Oakleigh South,135,110,18,7,0.05
21310,Clayton South,146,107,17,22,0.15
21311,Dandenong,414,273,75,66,0.16
21312,Dandenong North,256,206,27,23,0.09
21313,Dingley Village,99,86,9,4,0.04
21314,Keysborough,319,247,43,29,0.09
21316,Noble Park North,82,61,15,6,0.07
21317,Springvale,245,146,56,43,0.18
21318,Springvale South,175,112,30,33,0.19
21459,Noble Park - East,117,81,20,16,0.14
21460,Noble Park - West,218,141,44,33,0.15
21319,Ashwood - Chadstone,209,174,15,20,0.1
21320,Clayton,143,107,25,11,0.08
21321,Glen Waverley - East,275,244,17,14,0.05
21322,Glen Waverley - West,227,175,27,25,0.11
21323,Mount Waverley - North,170,143,20,7,0.04
21324,Mount Waverley - South,224,193,20,11,0.05
21325,Mulgrave,237,199,22,16,0.07
21326,Oakleigh - Huntingdale,227,195,20,12,0.05
21327,Wheelers Hill,205,175,18,12,0.06
21328,Ardeer - Albion,95,59,13,23,0.24
21329,Cairnlea,154,131,11,12,0.08
21330,Deer Park - Derrimut,463,354,58,51,0.11
21331,Delahey,77,50,19,8,0.1
21332,Keilor Downs,166,133,19,14,0.08
21333,Kings Park (Vic.),182,132,38,12,0.07
21334,St Albans - North,267,147,50,70,0.26
21335,St Albans - South,202,138,34,30,0.15
21336,Sunshine,117,90,14,13,0.11
21337,Sunshine North,151,125,12,14,0.09
21338,Sunshine West,211,143,33,35,0.17
21339,Sydenham,120,91,19,10,0.08
21340,Taylors Lakes,141,113,17,11,0.08
21341,Altona,151,128,19,4,0.03
21342,Altona Meadows,196,146,23,27,0.14
21343,Altona North,143,101,21,21,0.15
21344,Newport,272,242,22,8,0.03
21345,Seabrook,106,91,10,5,0.05
21346,Williamstown,193,175,12,6,0.03
21347,Braybrook,193,143,27,23,0.12
21348,Footscray,136,112,14,10,0.07
21349,Maribyrnong,117,99,13,5,0.04
21350,Seddon - Kingsville,135,105,25,5,0.04
21351,West Footscray - Tottenham,145,120,19,6,0.04
21352,Yarraville,210,176,18,16,0.08
21353,Bacchus Marsh,284,251,27,6,0.02
21355,Hillside,316,252,35,29,0.09
21356,Melton,295,233,36,26,0.09
21357,Melton South,488,390,63,35,0.07
21358,Melton West,310,259,34,17,0.05
21359,Rockbank - Mount Cottrell,44,35,4,5,0.11
21360,Taylors Hill,327,262,44,21,0.06
21461,Burnside,83,67,12,4,0.05
21462,Burnside Heights,166,137,23,6,0.04
21463,Caroline Springs,329,272,40,17,0.05
21361,Hoppers Crossing - North,242,170,47,25,0.1
21362,Hoppers Crossing - South,288,198,57,33,0.11
21363,Laverton,130,81,26,23,0.18
21365,Tarneit,870,642,133,95,0.11
21366,Truganina,649,472,113,64,0.1
21368,Werribee - South,132,82,37,13,0.1
21369,Wyndham Vale,474,333,96,45,0.09
21464,Point Cook - East,291,218,36,37,0.13
21465,Point Cook - North,451,367,52,32,0.07
21466,Point Cook - South,457,382,44,31,0.07
21467,Werribee - East,293,205,57,31,0.11
21468,Werribee - West,169,116,42,11,0.07
21370,Carrum Downs,286,219,40,27,0.09
21371,Frankston,218,162,45,11,0.05
21372,Frankston North,225,173,24,28,0.12
